Image Path,Image Name,DateTimeOriginal,Latitude,Longitude
20240819/Cam4/FLIR_20240819_032024_509.jpg,FLIR_20240819_032024_509.jpg,2024:08:19 15:20:24,,
20240819/Cam4/FLIR_20240819_025109_088.jpg,FLIR_20240819_025109_088.jpg,2024:08:19 14:51:08,,
20240819/Cam4/FLIR_20240819_023659_414.jpg,FLIR_20240819_023659_414.jpg,2024:08:19 14:36:59,,
20240819/Cam4/FLIR_20240819_030331_800.jpg,FLIR_20240819_030331_800.jpg,2024:08:19 15:03:31,,
20240819/Cam4/FLIR_20240819_025439_564.jpg,FLIR_20240819_025439_564.jpg,2024:08:19 14:54:39,,
20240819/Cam4/FLIR_20240819_032625_695.jpg,FLIR_20240819_032625_695.jpg,2024:08:19 15:26:25,,
20240819/Cam4/FLIR_20240819_102006_762.jpg,FLIR_20240819_102006_762.jpg,2024:08:19 10:20:06,,
20240819/Cam4/FLIR_20240819_031854_380.jpg,FLIR_20240819_031854_380.jpg,2024:08:19 15:18:54,,
20240819/Cam3/FLIR_20240819_101616_174.jpg,FLIR_20240819_101616_174.jpg,2024:08:19 10:16:16,,
20240819/Cam3/FLIR_20240819_104559_451.jpg,FLIR_20240819_104559_451.jpg,2024:08:19 10:45:59,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_032123_242.jpg,FLIR_20240819_032123_242.jpg,2024:08:19 15:21:23,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_031934_349.jpg,FLIR_20240819_031934_349.jpg,2024:08:19 15:19:34,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_031842_532.jpg,FLIR_20240819_031842_532.jpg,2024:08:19 15:18:42,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_104259_027.jpg,FLIR_20240819_104259_027.jpg,2024:08:19 10:42:58,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_102930_648.jpg,FLIR_20240819_102930_648.jpg,2024:08:19 10:29:30,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_025337_825.jpg,FLIR_20240819_025337_825.jpg,2024:08:19 14:53:37,-22.34293611111111,-69.5297638888889
20240819/Cam3/FLIR_20240819_102717_133.jpg,FLIR_20240819_102717_133.jpg,2024:08:19 10:27:17,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_103826_834.jpg,FLIR_20240819_103826_834.jpg,2024:08:19 10:38:26,-22.34218611111111,-69.52971111111111
20240819/Cam3/FLIR_20240819_025538_285.jpg,FLIR_20240819_025538_285.jpg,2024:08:19 14:55:38,-22.34293611111111,-69.5297638888889
